Split,Average accuracy,Max accuracy,Min accuracy
30,0.9785639958376692,0.9906347554630593,0.9729448491155047
40,0.9822815533980581,0.9890776699029126,0.9696601941747572
50,0.9795918367346939,0.9854227405247813,0.9752186588921283
60,0.980327868852459,0.9836065573770492,0.9726775956284153
70,0.9873786407766991,0.9951456310679612,0.9830097087378641
